epoch,loss,Recall,Precision,F1
001,4.676,0.000,0.000,0.000
002,3.899,0.000,0.000,0.000
003,3.616,0.015,1.000,0.029
004,3.466,0.001,0.750,0.003
005,3.342,0.001,0.750,0.003
006,3.341,0.015,0.944,0.030
007,3.291,0.052,0.959,0.099
008,3.147,0.031,0.958,0.060
009,3.101,0.015,0.971,0.029
010,3.111,0.131,0.951,0.230
011,3.036,0.119,0.950,0.212
012,3.025,0.098,0.956,0.177
013,2.975,0.116,0.981,0.207
014,2.986,0.101,0.978,0.183
015,2.946,0.167,0.966,0.284
016,2.954,0.134,0.974,0.236
017,2.869,0.187,0.969,0.313
018,2.850,0.154,0.958,0.265
019,2.858,0.157,0.989,0.271
020,2.806,0.142,0.969,0.248
021,2.728,0.209,0.963,0.344
022,2.773,0.203,0.961,0.335
023,2.808,0.165,0.956,0.282
024,2.747,0.169,0.959,0.287
025,2.700,0.219,0.936,0.355
026,2.783,0.193,0.960,0.321
027,2.695,0.215,0.960,0.352
028,2.739,0.204,0.964,0.336
029,2.701,0.164,0.945,0.279
030,2.673,0.229,0.942,0.368
031,2.645,0.239,0.945,0.382
032,2.573,0.253,0.943,0.399
033,2.680,0.196,0.954,0.325
034,2.637,0.191,0.951,0.318
035,2.626,0.230,0.955,0.371
036,2.559,0.233,0.952,0.374
037,2.583,0.244,0.949,0.389
038,2.611,0.262,0.935,0.409
039,2.548,0.289,0.937,0.442
040,2.571,0.251,0.941,0.396
041,2.565,0.249,0.957,0.396
042,2.515,0.266,0.961,0.417
043,2.540,0.271,0.943,0.421
044,2.547,0.257,0.939,0.404
045,2.462,0.239,0.962,0.383
046,2.565,0.249,0.952,0.395
047,2.452,0.266,0.939,0.415
048,2.474,0.274,0.940,0.424
049,2.478,0.275,0.958,0.427
050,2.447,0.269,0.938,0.418
051,2.432,0.285,0.940,0.437
052,2.434,0.277,0.945,0.429
053,2.380,0.280,0.941,0.432
054,2.407,0.276,0.947,0.428
055,2.335,0.266,0.950,0.415
056,2.346,0.302,0.944,0.458
057,2.386,0.292,0.947,0.446
058,2.346,0.288,0.947,0.441
059,2.376,0.295,0.949,0.450
060,2.410,0.280,0.942,0.431
061,2.344,0.279,0.945,0.431
062,2.309,0.289,0.951,0.443
063,2.321,0.284,0.950,0.437
064,2.324,0.282,0.947,0.435
065,2.334,0.311,0.934,0.466
066,2.275,0.308,0.929,0.462
067,2.351,0.304,0.940,0.460
068,2.307,0.292,0.931,0.444
069,2.274,0.312,0.931,0.467
070,2.256,0.302,0.942,0.457
071,2.222,0.324,0.936,0.481
072,2.231,0.314,0.938,0.470
073,2.277,0.311,0.931,0.466
074,2.310,0.316,0.935,0.472
075,2.310,0.303,0.941,0.458
076,2.224,0.328,0.937,0.486
077,2.240,0.308,0.942,0.464
078,2.180,0.312,0.934,0.468
079,2.276,0.329,0.931,0.486
080,2.216,0.312,0.934,0.468
081,2.187,0.318,0.932,0.474
082,2.229,0.330,0.946,0.489
083,2.183,0.331,0.934,0.489
084,2.115,0.323,0.943,0.481
085,2.135,0.340,0.919,0.497
086,2.137,0.336,0.928,0.493
087,2.157,0.336,0.929,0.493
088,2.159,0.338,0.927,0.495
089,2.063,0.348,0.928,0.506
090,2.144,0.353,0.930,0.512
091,2.120,0.340,0.925,0.497
092,2.125,0.333,0.920,0.489
093,2.093,0.344,0.919,0.501
094,2.156,0.336,0.936,0.494
095,2.127,0.341,0.932,0.500
096,2.187,0.349,0.927,0.507
097,2.103,0.341,0.926,0.499
098,2.127,0.344,0.928,0.502
099,2.129,0.344,0.930,0.502
100,2.081,0.338,0.933,0.496
101,2.042,0.346,0.927,0.504
102,2.142,0.342,0.922,0.499
103,2.132,0.348,0.919,0.505
104,2.082,0.346,0.925,0.504
105,2.130,0.347,0.922,0.504
106,2.086,0.353,0.920,0.510
107,2.041,0.349,0.925,0.507
108,2.081,0.348,0.918,0.505
109,2.057,0.349,0.921,0.506
110,2.023,0.356,0.921,0.513
111,2.021,0.352,0.930,0.510
112,2.065,0.349,0.920,0.506
113,2.006,0.351,0.921,0.508
114,1.984,0.360,0.919,0.517
115,2.099,0.361,0.922,0.519
116,2.015,0.359,0.917,0.516
117,1.986,0.365,0.912,0.522
118,2.031,0.363,0.912,0.519
119,2.011,0.358,0.915,0.514
120,1.954,0.362,0.912,0.518
121,1.976,0.355,0.911,0.511
122,1.969,0.361,0.916,0.518
123,1.974,0.359,0.921,0.516
124,1.965,0.365,0.917,0.522
125,1.970,0.371,0.918,0.528
126,1.935,0.369,0.916,0.526
127,1.918,0.368,0.918,0.525
128,1.922,0.366,0.915,0.523
129,1.946,0.365,0.910,0.521
130,1.944,0.369,0.911,0.525
131,1.941,0.375,0.914,0.532
132,1.889,0.370,0.907,0.526
133,1.918,0.381,0.909,0.537
134,1.898,0.374,0.910,0.531
135,1.880,0.380,0.907,0.535
136,1.846,0.380,0.911,0.536
137,1.943,0.379,0.907,0.534
138,1.909,0.381,0.910,0.537
139,1.936,0.378,0.910,0.534
140,1.881,0.378,0.910,0.534
141,1.947,0.379,0.912,0.536
142,1.954,0.374,0.908,0.529
143,1.925,0.383,0.906,0.538
144,1.910,0.383,0.911,0.540
145,1.863,0.377,0.911,0.533
146,1.855,0.377,0.908,0.533
147,1.880,0.378,0.903,0.533
148,1.832,0.383,0.906,0.539
149,1.842,0.386,0.907,0.541
150,1.832,0.386,0.905,0.541
151,1.833,0.384,0.902,0.539
152,1.784,0.387,0.899,0.541
153,1.802,0.392,0.901,0.546
154,1.820,0.391,0.906,0.546
155,1.818,0.389,0.901,0.544
156,1.794,0.398,0.902,0.552
157,1.826,0.396,0.905,0.551
158,1.778,0.393,0.909,0.549
159,1.788,0.397,0.904,0.552
160,1.775,0.392,0.899,0.546
161,1.775,0.394,0.900,0.548
162,1.844,0.401,0.904,0.556
163,1.811,0.399,0.902,0.554
164,1.765,0.394,0.900,0.548
165,1.824,0.398,0.907,0.554
166,1.764,0.401,0.902,0.555
167,1.816,0.397,0.901,0.552
168,1.825,0.396,0.905,0.551
169,1.759,0.396,0.903,0.551
170,1.766,0.395,0.897,0.549
171,1.816,0.397,0.902,0.551
172,1.756,0.395,0.904,0.550
173,1.734,0.401,0.905,0.556
174,1.759,0.400,0.903,0.554
175,1.813,0.402,0.902,0.556
176,1.776,0.398,0.905,0.553
177,1.754,0.402,0.903,0.557
178,1.756,0.401,0.902,0.555
179,1.753,0.403,0.904,0.557
180,1.765,0.404,0.904,0.558
181,1.741,0.404,0.903,0.558
182,1.795,0.404,0.904,0.558
183,1.756,0.404,0.900,0.558
184,1.760,0.406,0.903,0.560
185,1.745,0.408,0.905,0.562
186,1.725,0.407,0.899,0.560
